
TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
CDB_RESOURCE_PLAN$                                                                                                                        4          1          54
CDB_RESOURCE_PLAN_DIRECTIVE$                                                                                                              8          1         111
TSM_SRC$                                                                                                                                  0          0           0
TSM_DST$                                                                                                                                  0          0           0
SERVICE$                                                                                                                                  4          1          50
EXP_SERVICE$                                                                                                                              0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
CDB_SERVICE$                                                                                                                              7          1          39
DIR$MIGRATE_OPERATIONS                                                                                                                    0          0           0
DIR$SERVICE_OPERATIONS                                                                                                                    0          0           0
DIR$ESCALATE_OPERATIONS                                                                                                                   0          0           0
DIR$QUIESCE_OPERATIONS                                                                                                                    0          0           0
DIR$INSTANCE_ACTIONS                                                                                                                      0          0           0
DIR$RESONATE_OPERATIONS                                                                                                                   0          0           0
DIR$ALERT_HISTORY                                                                                                                         0          0           0
DIR$REASON_STRINGS                                                                                                                        0          0           0
DIR$DATABASE_ATTRIBUTES                                                                                                                   0          0           0
DIR$VICTIM_POLICY                                                                                                                         0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
DIR$NODE_ATTRIBUTES                                                                                                                       0          0           0
DIR$SERVICE_ATTRIBUTES                                                                                                                    0          0           0
SVCOBJ_ACCESS_ATTR$                                                                                                                       1          5           6
CODEAUTH$                                                                                                                                 3          1           8
_default_auditing_options_                                                                                                                0          0           0
AUDIT$                                                                                                                                    0          0           0
AUD_POLICY$                                                                                                                               9         12        4012
AUD_OBJECT_OPT$                                                                                                                         398          7         117
AUDIT_NG$                                                                                                                                 2          1          15
AUD_CONTEXT$                                                                                                                              0          0           0
SYSTEM_PRIVILEGE_MAP                                                                                                                    257          2          27

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
TABLE_PRIVILEGE_MAP                                                                                                                      26          1          11
USER_PRIVILEGE_MAP                                                                                                                        4          1          21
STMT_AUDIT_OPTION_MAP                                                                                                                   337          2          25
USER_HISTORY$                                                                                                                             0          0           0
RLS$                                                                                                                                      0          0           0
RLS_SC$                                                                                                                                   0          0           0
RLS_GRP$                                                                                                                                  0          0           0
RLS_CTX$                                                                                                                                  0          0           0
RLS_CSA$                                                                                                                                  0          0           0
RADM$                                                                                                                                     0          0           0
RADM_MC$                                                                                                                                  0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
RADM_PE$                                                                                                                                  0          0           0
RADM_FPTM$                                                                                                                                1          1          59
RADM_FPTM_LOB$                                                                                                                            1          5         146
RADM_TD$                                                                                                                                  0          0           0
RADM_CD$                                                                                                                                  0          0           0
AUD$                                                                                                                                      0          0           0
FGA$                                                                                                                                      0          0           0
FGACOL$                                                                                                                                   0          0           0
FGA_LOG$                                                                                                                                  0          0           0
APPROLE$                                                                                                                                  0          0           0
ENC$                                                                                                                                      0          0           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
PROXY_INFO$                                                                                                                               0          0           0
